index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
ALEX,1,1279.12,1065.32,938684,4680388672,133159962988,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,4,1234.26,834.412,1.19845e+06,1194629024,32612831999,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,8,1191.77,703.04,1.4224e+06,612210912,16589493705,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,16,1233.26,583.019,1.71521e+06,314106984,8806846352,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,32,1228.34,464.949,2.15077e+06,165966424,4608480047,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,64,1168.26,382.86,2.61192e+06,88211416,2331444009,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,128,1113.09,326.744,3.0605e+06,49303744,1276530265,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,256,1136.38,265.49,3.76662e+06,27636192,647384604,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,512,1123.62,205.3,4.87092e+06,16503224,373391625,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,1024,1167.32,161.648,6.18629e+06,10427296,233589284,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,2048,1261.63,120.677,8.2866e+06,5792904,116233270,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,4096,1288.91,84.4695,1.18386e+07,3541960,80307728,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,8192,1392.17,63.0313,1.58651e+07,2176256,56879353,BinarySearch,./data/osm_cellids_200M_uint64
BTree,32,782.801,311.378,3.21153e+06,116016232,75578970,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1,987.12,767.206,1.30343e+06,3712500896,2168539737,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4,923.467,604.727,1.65364e+06,928126304,471132411,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16,837.617,394.995,2.53168e+06,232032112,106289826,BinarySearch,./data/osm_cellids_200M_uint64
BTree,64,806.463,241.753,4.13646e+06,58008568,21914707,BinarySearch,./data/osm_cellids_200M_uint64
BTree,128,842.941,207.027,4.83028e+06,29004872,11034478,BinarySearch,./data/osm_cellids_200M_uint64
BTree,512,910.625,83.2476,1.20124e+07,7251896,2123200,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1024,927.685,68.0726,1.46902e+07,3626672,935400,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4096,1060.85,48.7703,2.05043e+07,906864,244660,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16384,1279.73,36.3902,2.74799e+07,227048,67240,BinarySearch,./data/osm_cellids_200M_uint64
BTree,65536,1716.46,26.6936,3.74622e+07,57096,22070,BinarySearch,./data/osm_cellids_200M_uint64
BTree,262144,2103.93,20.4273,4.89541e+07,14608,10270,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,16,1508.31,960.402,1.04123e+06,3222152936,77852087840,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4,1436.76,992.359,1.0077e+06,3294728984,85863223574,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8,1378.08,952.447,1.04993e+06,3245730616,80589137827,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,32,1378.22,951.663,1.05079e+06,3210848560,74656377060,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,64,1461.25,1031.15,969791,3205369616,73291740314,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,256,1645.38,1081.52,924621,3201340576,69953603654,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,1024,1584.08,1165.2,858223,3200345984,69116308450,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,2048,1631.92,1230.42,812733,3200176920,68216507465,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4096,1711.63,1306.76,765249,3200091832,67687701741,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8192,1872.65,1438.41,695214,3200048152,68070744658,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,1,811.369,472.632,2.11581e+06,4613272376,102549059001,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4,762.461,307.592,3.25106e+06,1155476352,17747172791,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8,751.185,245.726,4.06958e+06,577741584,7456631944,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,16,763.203,192.797,5.18681e+06,289258184,3263123879,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,32,824.387,157.171,6.36249e+06,144846064,1449281123,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,64,846.083,137.315,7.28251e+06,72530976,672811639,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,128,899.081,126.622,7.89751e+06,36308328,314660341,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,256,917.363,106.512,9.38861e+06,18182704,156267189,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,512,975.532,92.4987,1.0811e+07,9152728,77771023,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,1024,1049.06,59.4353,1.6825e+07,4635144,38681415,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,2048,1153.43,41.1284,2.43141e+07,2367832,19487545,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4096,1275.21,43.1976,2.31494e+07,1783760,19986672,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8192,1359.71,35.4199,2.82327e+07,658336,12651913,BinarySearch,./data/wiki_ts_200M_uint64
BTree,32,1310.91,544.186,1.83761e+06,116016232,142083308,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1,1680.28,1192.94,838263,3712500896,4706874672,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4,1502.33,928.623,1.07686e+06,928126304,1124282813,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16,1363.75,697.583,1.43352e+06,232032112,227002613,BinarySearch,./data/wiki_ts_200M_uint64
BTree,64,1292.41,464.811,2.15141e+06,58008568,34737663,BinarySearch,./data/wiki_ts_200M_uint64
BTree,128,1294.62,346.159,2.88885e+06,29004872,17401811,BinarySearch,./data/wiki_ts_200M_uint64
BTree,512,1253.67,177.007,5.64951e+06,7251896,4063020,BinarySearch,./data/wiki_ts_200M_uint64
