index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,median_time_insert_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
ALEX,1,907.984,709.325,734.237,1.36659e+06,5132235440,126356547684,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,4,859.049,502.657,608.187,1.67327e+06,1611726232,33385706413,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,8,704.962,400.436,589.696,1.75202e+06,1034387856,15996660835,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,16,702.266,337.653,567.333,1.837e+06,744405464,8505422907,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,32,747.65,271.718,522.588,2.01005e+06,598423416,4425164835,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,64,753.018,228.839,515.971,2.0523e+06,522494832,2240658105,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,128,741.779,185.83,510.007,2.09385e+06,482986824,1210578863,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,256,749.33,154.186,483.207,2.22072e+06,450628712,616479963,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,512,783.944,125.043,470.491,2.29386e+06,440377176,350451619,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,1024,811.447,95.1524,454.288,2.3902e+06,429545864,210772048,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,2048,871.633,79.2487,434.312,2.50749e+06,426789376,105631844,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,4096,888.728,67.1875,420.367,2.59707e+06,427890808,68838751,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,8192,947.818,55.6196,401.543,2.72516e+06,423020048,50068237,BinarySearch,./data/osm_cellids_200M_uint64
BTree,32,709.796,312.687,626.622,1.68003e+06,650690600,64082700,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1,920.423,728.326,791.441,1.27368e+06,4526074472,1897012090,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4,824.096,534.711,704.633,1.45425e+06,1589464088,266980701,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16,726.767,366.492,656.56,1.59349e+06,797369128,78600358,BinarySearch,./data/osm_cellids_200M_uint64
BTree,64,754.937,251.676,619.918,1.71499e+06,571606848,18510147,BinarySearch,./data/osm_cellids_200M_uint64
BTree,128,766.163,182.01,600.939,1.78876e+06,529972560,9670588,BinarySearch,./data/osm_cellids_200M_uint64
BTree,512,842.275,83.0974,588.864,1.85774e+06,497424392,1929080,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1024,884.583,68.7443,577.494,1.89891e+06,492215040,845020,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4096,987.976,48.5971,588.286,1.87155e+06,488105520,313870,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16384,1181.26,38.1163,582.417,1.89398e+06,487015048,63400,BinarySearch,./data/osm_cellids_200M_uint64
BTree,65536,1473.93,26.34,591.256,1.86998e+06,486929272,23020,BinarySearch,./data/osm_cellids_200M_uint64
