index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,median_time_insert_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
ALEX,1,40625,577,736.962,1.35692e+06,5178683920,126473663826,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,4,14085,1047,582.562,1.71656e+06,1663126560,31672673354,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,8,3790,562,558.892,1.78925e+06,1081111952,15967562428,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,16,3845,435,550.935,1.8151e+06,792697936,8471114499,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,32,3684,478,514.052,1.94533e+06,645351304,4428031733,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,64,3761,724,506.974,1.97249e+06,576441160,2232035396,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,128,3155,441,496.256,2.01509e+06,533755912,1207373016,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,256,3582,610,480.34,2.08186e+06,506892456,614721484,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,512,2985,754,474.431,2.10779e+06,495797448,345794251,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,1024,2787,445,464.929,2.15087e+06,490022264,210418934,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,2048,2947,516,448.889,2.22772e+06,479875688,105431349,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,4096,2655,541,427.03,2.34176e+06,479764272,68613989,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,8192,1995,429,431.74,2.31621e+06,476444368,49301363,BinarySearch,./data/osm_cellids_200M_uint64
BTree,32,39644,30242,666.141,1.50118e+06,705270600,107370319,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1,3381,830,834.326,1.19857e+06,4591919496,3242629506,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4,2651,687,708.029,1.41237e+06,1648559520,407454798,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16,3217,670,669.438,1.49379e+06,852975440,100891878,BinarySearch,./data/osm_cellids_200M_uint64
BTree,64,3150,726,643.492,1.55402e+06,625657432,26029945,BinarySearch,./data/osm_cellids_200M_uint64
BTree,128,2591,592,634.226,1.57673e+06,583920848,13229311,BinarySearch,./data/osm_cellids_200M_uint64
BTree,512,204257,631,621.97,1.60779e+06,551564152,3187181,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1024,1978,561,629.484,1.5886e+06,546348352,1585826,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4096,2637,629,625.756,1.59807e+06,542188408,358430,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16384,2365,901,625.829,1.59788e+06,541259640,83594,BinarySearch,./data/osm_cellids_200M_uint64
BTree,65536,1862,237,618.359,1.61718e+06,541034648,32258,BinarySearch,./data/osm_cellids_200M_uint64
BTree,262144,3239,366,623.332,1.60428e+06,540826040,13769,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,16,44444,5789,551.736,1.81246e+06,3459040272,116914040789,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4,12293,2228,610.021,1.63929e+06,3533463704,128659789682,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8,36159,2033,573.844,1.74263e+06,3483063272,121857108664,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,32,10323,2368,531.791,1.88044e+06,3447595280,113545275783,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,64,34599,2388,515.856,1.93852e+06,3442067056,111344009410,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,256,178004,3473,503.922,1.98443e+06,3438012912,105386695713,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,1024,11719,4006,502.532,1.98992e+06,3437012512,103702590666,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,2048,11416,4531,505.349,1.97883e+06,3436842536,103556132190,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4096,10874,3249,503.921,1.98444e+06,3436756808,103129765169,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8192,11054,3289,508.068,1.96824e+06,3436712968,101885823626,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,1,40051,1343,706.786,1.41486e+06,5052789528,99670229749,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4,12444,700,667.157,1.4989e+06,1613200280,17219145660,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8,3345,1152,567.534,1.76201e+06,1044661064,7237013219,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,16,2810,517,550.701,1.81587e+06,753558216,3142095713,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,32,2742,513,538.227,1.85795e+06,619180280,1395953764,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,64,3080,585,525.788,1.90191e+06,539748416,640783060,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,128,2312,632,505.831,1.97694e+06,505731040,296496796,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,256,1868,800,499.312,2.00276e+06,490765520,144107142,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,512,2311,457,493.655,2.02571e+06,476931144,70005850,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,1024,2680,419,496.303,2.0149e+06,474727200,35882572,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,2048,2746,430,487.305,2.0521e+06,461017784,19010665,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4096,2596,575,493.466,2.02648e+06,472370928,19022303,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8192,2422,444,475.287,2.10399e+06,468069504,12043115,BinarySearch,./data/wiki_ts_200M_uint64
BTree,32,84153,24623,681.496,1.46736e+06,712531400,107438971,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1,3840,569,885.366,1.12948e+06,4448210792,3287922506,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4,2693,797,757.123,1.32079e+06,1596034544,408018283,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16,2774,604,731.882,1.36634e+06,846167112,101963581,BinarySearch,./data/wiki_ts_200M_uint64
BTree,64,2345,821,682.958,1.46422e+06,641482808,25753800,BinarySearch,./data/wiki_ts_200M_uint64
BTree,128,1833,572,675.682,1.47999e+06,602958984,12335761,BinarySearch,./data/wiki_ts_200M_uint64
BTree,512,17004,487,646.365,1.54711e+06,569491520,3205247,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1024,1700,610,632.761,1.58038e+06,563066320,1530381,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4096,2405,712,630.824,1.58523e+06,557783968,342639,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16384,2404,540,644.804,1.55086e+06,556454736,81975,BinarySearch,./data/wiki_ts_200M_uint64
BTree,65536,2576,325,643.141,1.55487e+06,556119168,32585,BinarySearch,./data/wiki_ts_200M_uint64
BTree,262144,4000,722,632.774,1.58034e+06,556077832,15533,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,16,33749,4207,220.408,4.53703e+06,1505068680,42603376731,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,4,15838,1116,220.143,4.54249e+06,1509967832,46680676109,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8,6220,658,217.208,4.60389e+06,1506241080,43505457196,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,32,5380,1354,216.492,4.6191e+06,1504662352,42560809097,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,64,5004,1544,218.162,4.58374e+06,1504499088,43330924075,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,256,31739,1103,218.384,4.5791e+06,1504371976,44581448834,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,1024,6499,1363,221.651,4.51159e+06,1504329800,46337687436,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,2048,6536,1332,219.562,4.55452e+06,1504310296,42143174576,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,4096,17950,4249,219.536,4.55505e+06,1504306032,49898991180,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8192,101965,2827,222.258,4.49927e+06,1504304784,40967939972,BinarySearch,./data/wiki_ts_200M_uint64
