index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
ALEX,1,698.198,346.916,2.88254e+06,4613732976,101183619975,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4,598.776,230.284,4.34246e+06,1155593088,17286749528,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8,607.916,182.135,5.49042e+06,577789440,7302011923,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,16,598.738,139.67,7.15976e+06,289287952,3170629052,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,32,646.754,120.49,8.29946e+06,144864168,1410409202,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,64,665.791,103.782,9.63559e+06,72516296,650320732,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,128,684.351,92.4739,1.08139e+07,36315728,301857581,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,256,699.064,75.4709,1.32501e+07,18181680,148674437,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,512,741.755,56.4852,1.77038e+07,9153536,72141294,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,1024,786.681,46.8759,2.13329e+07,4635304,36079280,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,2048,860.548,39.4058,2.53769e+07,2368512,19046417,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4096,1107.94,59.1809,1.68973e+07,1783904,19330921,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8192,1026.45,34.6568,2.88543e+07,658568,12669815,BinarySearch,./data/wiki_ts_200M_uint64
BTree,32,1423.18,580.511,1.72262e+06,116028248,154958019,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1,1850.21,1244.26,803687,3712871840,4697466410,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4,1601.58,971.375,1.02947e+06,928219112,1076019149,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16,1474.55,798.434,1.25245e+06,232055592,230241051,BinarySearch,./data/wiki_ts_200M_uint64
BTree,64,1391.86,478.896,2.08814e+06,58014712,37717014,BinarySearch,./data/wiki_ts_200M_uint64
BTree,128,1366.97,355.245,2.81496e+06,29007944,19642910,BinarySearch,./data/wiki_ts_200M_uint64
BTree,512,1339.23,176.841,5.6548e+06,7252456,4615838,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1024,1363.86,122.029,8.19475e+06,3626952,2151116,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4096,1510.55,74.3579,1.34485e+07,907144,508071,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16384,1696.08,56.1772,1.78008e+07,227328,106650,BinarySearch,./data/wiki_ts_200M_uint64
BTree,65536,1965.83,43.7018,2.28824e+07,57096,40873,BinarySearch,./data/wiki_ts_200M_uint64
BTree,262144,2044.89,31.3221,3.19264e+07,14608,18113,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,16,1252.25,814.493,1.22776e+06,1448055840,47493903520,BinarySearch,./data/wiki_ts_200M_uint64                                               
DynamicPGM,4,1197.31,745.725,1.34098e+06,1452834576,46782757344,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8,1260.5,788.349,1.26847e+06,1449189968,43710395479,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,32,1260.05,831.106,1.20322e+06,1447662480,42996595548,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,64,1285.06,855.66,1.16869e+06,1447503168,43244765218,BinarySearch,./data/wiki_ts_200M_uint64
