index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,median_time_insert_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
ALEX,1,787.035,372.66,931.616,1.14192e+06,5009548392,99709581386,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4,727.366,267.388,823.813,1.30179e+06,1566760784,17434791883,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8,694.003,196.901,717.541,1.50268e+06,996686312,7290077628,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,16,651.263,155.17,650.682,1.66353e+06,705512368,3154657283,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,32,706.133,129.846,911.085,1.20054e+06,571370200,1402351985,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,64,711.851,107.366,602.744,1.80764e+06,491964600,645433606,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,128,741.965,92.3727,589.521,1.85252e+06,453662776,298397720,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,256,753.818,83.2473,675.895,1.62172e+06,441206864,145760242,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,512,815.054,60.524,576.94,1.90368e+06,428909472,73338423,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,1024,847.348,48.0035,577.028,1.90794e+06,425912824,36064287,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,2048,912.099,41.2307,564.829,1.95134e+06,421477520,19091249,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4096,1002.19,44.0696,565.86,1.94674e+06,418343448,19237973,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8192,1066.41,35.087,569.893,1.93644e+06,428587872,12152614,BinarySearch,./data/wiki_ts_200M_uint64
BTree,32,777.715,277.185,610.204,1.7334e+06,649960216,63907435,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1,1021.63,723.173,803.037,1.25778e+06,4386142264,2571925526,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4,920.404,508.36,742.708,1.39029e+06,1533272104,376994966,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16,795.918,379.803,625.634,1.66375e+06,783558392,69060885,BinarySearch,./data/wiki_ts_200M_uint64
BTree,64,761.354,212.125,577.949,1.84718e+06,579441632,18706109,BinarySearch,./data/wiki_ts_200M_uint64
BTree,128,786.904,173.618,571.595,1.88041e+06,541165432,9219349,BinarySearch,./data/wiki_ts_200M_uint64
BTree,512,874.348,77.5258,565.355,1.93584e+06,508438864,1768050,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1024,950.995,69.0512,558.446,1.96268e+06,501896336,905790,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4096,1099.03,50.5716,564.37,1.94935e+06,497152368,216260,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16384,1307.33,38.3769,570.041,1.93471e+06,495684376,60590,BinarySearch,./data/wiki_ts_200M_uint64
BTree,65536,1700.24,27.1202,563.729,1.96052e+06,495537056,22970,BinarySearch,./data/wiki_ts_200M_uint64
BTree,262144,2066.05,21.1649,561.963,1.96896e+06,495256992,31709,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,16,1616.6,1037.36,255.073,3.00028e+06,1494831176,48031612360,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,4,1904.6,1251.93,258.684,2.79324e+06,1499727128,49697961148,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8,1508.43,1021.46,256.552,3.00262e+06,1496002760,46582929520,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,32,1666.58,991.351,255.898,3.03542e+06,1494425024,45646454706,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,64,1767.84,996.97,261.797,2.98227e+06,1494261888,46441938040,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,256,1915.64,1226.95,262.72,2.78441e+06,1494134552,47775174861,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,1024,2379.97,1774.7,271.498,2.37069e+06,1494092296,52745782731,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,2048,2536.7,1738.42,270.58,2.39599e+06,1494072664,54113472277,BinarySearch,./data/wiki_ts_200M_uint64
