index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,median_time_insert_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
ALEX,1,72508,814,1258.81,794400,5053204136,105853493185,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4,71721,647,1233.53,810681,1613263456,18227753632,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8,106814,552,999.03,1.00097e+06,1043882024,7510793782,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,16,32069,483,906.52,1.10312e+06,752256504,3283679519,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,32,69199,498,887.235,1.1271e+06,620373360,1463732359,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,64,4198,535,850.933,1.17518e+06,539244888,676846279,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,128,76658,629,844.213,1.18454e+06,505306640,316699321,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,256,65226,665,829.757,1.20517e+06,488489576,159596534,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,512,28853,862,811.324,1.23255e+06,477030480,80497405,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,1024,3044,494,796.939,1.2548e+06,475954440,41238383,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,2048,2930,566,800.363,1.24943e+06,469462232,19537394,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4096,3087,584,804.686,1.24272e+06,473719136,20601661,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8192,63010,311,721.189,1.3866e+06,470520144,12341871,BinarySearch,./data/wiki_ts_200M_uint64
BTree,32,4349,2289,638.876,1.56525e+06,712415168,58734541,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1,3870,440,806.035,1.24064e+06,4448430392,2367380161,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4,4000,650,860.629,1.16194e+06,1596016784,370924527,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16,3080,789,674.283,1.48306e+06,846226720,70456450,BinarySearch,./data/wiki_ts_200M_uint64
BTree,64,2890,680,604.233,1.65499e+06,641244816,16847628,BinarySearch,./data/wiki_ts_200M_uint64
BTree,128,2290,520,606.261,1.64946e+06,602827520,8624599,BinarySearch,./data/wiki_ts_200M_uint64
BTree,512,9400,230,604.999,1.65289e+06,569721456,1751369,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1024,1900,400,587.254,1.70284e+06,563033936,872790,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4096,2060,469,582.356,1.71716e+06,557959816,241120,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16384,3260,320,570.532,1.75275e+06,556652256,61500,BinarySearch,./data/wiki_ts_200M_uint64
BTree,65536,3980,240,580.784,1.72181e+06,556133504,25830,BinarySearch,./data/wiki_ts_200M_uint64
BTree,262144,5420,440,590.925,1.69226e+06,556157544,13920,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,16,61330,28802,253.761,3.9407e+06,1503165464,47600629262,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,4,90399,2692,256.957,3.8917e+06,1508061416,50675606757,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8,13007,1705,247.831,4.03501e+06,1504337048,47070327778,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,32,12495,28886,247.785,4.03574e+06,1502759312,45042625140,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,64,12226,2589,252.657,3.95793e+06,1502596176,45723263708,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,256,13343,3332,257.201,3.888e+06,1502468840,48972916889,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,1024,12986,2513,261.513,3.8239e+06,1502426584,50723508003,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,2048,15187,2913,252.156,3.96579e+06,1502406952,46239896797,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,4096,80856,37883,248.863,4.01825e+06,1502402672,45065442031,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8192,40332,6135,254.017,3.93674e+06,1502401424,53675267412,BinarySearch,./data/wiki_ts_200M_uint64
BTree,32,4520,2000,686.72,1.4562e+06,705496376,66949704,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1,4460,450,866.443,1.15414e+06,4592348912,1952170396,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4,4029,511,756.76,1.32142e+06,1648647456,368003633,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16,3360,550,693.004,1.44299e+06,852928408,73333153,BinarySearch,./data/osm_cellids_200M_uint64
BTree,64,2690,760,651.087,1.53589e+06,625795208,17247568,BinarySearch,./data/osm_cellids_200M_uint64
BTree,128,2430,550,656.57,1.52307e+06,583752400,9902249,BinarySearch,./data/osm_cellids_200M_uint64
BTree,512,9540,490,649.051,1.54071e+06,551653064,2018370,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1024,2400,830,646.633,1.54647e+06,546259184,844520,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4096,2600,500,636.509,1.57107e+06,542223248,230329,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16384,3320,520,644.618,1.55131e+06,541211384,65290,BinarySearch,./data/osm_cellids_200M_uint64
BTree,65536,4340,250,636.565,1.57093e+06,540925752,24880,BinarySearch,./data/osm_cellids_200M_uint64
BTree,262144,4871,469,640.331,1.56169e+06,540913328,14031,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,16,15100,1370,375.391,2.66389e+06,3459386656,77668014606,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4,23830,1550,417.201,2.39693e+06,3533807640,85327360634,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8,17570,990,396.88,2.51965e+06,3483409592,80571093440,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,32,63430,2390,391.144,2.55661e+06,3447941728,80813901104,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,64,14880,1390,359.383,2.78254e+06,3442413632,73564746505,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,256,14230,1.12088e+06,349.002,2.86485e+06,3438359232,69761480644,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,1024,17090,1040,345.587,2.89362e+06,3437358576,68627864375,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,2048,14250,1740,349.973,2.85736e+06,3437188600,68308588516,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4096,15620,6360,350.414,2.85377e+06,3437102824,67665111088,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8192,15090,2010,356.549,2.80466e+06,3437058968,68178580635,BinarySearch,./data/osm_cellids_200M_uint64
BTree,32,4370,1980,592.543,1.68764e+06,656858984,63621075,BinarySearch,./data/fb_200M_uint64
BTree,1,3670,310,584.521,1.7108e+06,4253703192,1904460986,BinarySearch,./data/fb_200M_uint64
BTree,4,11049,320,586.771,1.70424e+06,1469036576,437262600,BinarySearch,./data/fb_200M_uint64
BTree,16,2240,380,585.329,1.70844e+06,772885224,98515585,BinarySearch,./data/fb_200M_uint64
BTree,64,2080,400,565.373,1.76874e+06,598845992,19114230,BinarySearch,./data/fb_200M_uint64
BTree,128,2320,420,564.432,1.77169e+06,569838680,9718400,BinarySearch,./data/fb_200M_uint64
BTree,512,8169,400,573.394,1.744e+06,548083464,2245940,BinarySearch,./data/fb_200M_uint64
BTree,1024,2330,420,573.277,1.74436e+06,544467208,873190,BinarySearch,./data/fb_200M_uint64
BTree,4096,1920,370,572.563,1.74653e+06,541731352,221240,BinarySearch,./data/fb_200M_uint64
BTree,16384,2840,460,571.129,1.75092e+06,541000128,58829,BinarySearch,./data/fb_200M_uint64
BTree,65536,2410,360,571.806,1.74885e+06,540990376,19350,BinarySearch,./data/fb_200M_uint64
BTree,262144,4040,340,564.664,1.77096e+06,540941896,10190,BinarySearch,./data/fb_200M_uint64
DynamicPGM,16,1.13791e+06,2680,405.92,2.46354e+06,3486641960,82405360155,BinarySearch,./data/fb_200M_uint64
